"block_id","block_name","icd_code"
1,"A00-A09","A00"
1,"A00-A09","A01"
1,"A00-A09","A02"
1,"A00-A09","A03"
1,"A00-A09","A04"
1,"A00-A09","A05"
1,"A00-A09","A06"
1,"A00-A09","A07"
1,"A00-A09","A08"
1,"A00-A09","A09"
2,"A15-A19","A15"
2,"A15-A19","A16"
2,"A15-A19","A17"
2,"A15-A19","A18"
2,"A15-A19","A19"
3,"A20-A28","A20"
3,"A20-A28","A21"
3,"A20-A28","A22"
3,"A20-A28","A23"
3,"A20-A28","A24"
3,"A20-A28","A25"
3,"A20-A28","A26"
3,"A20-A28","A27"
3,"A20-A28","A28"
4,"A30-A49","A30"
4,"A30-A49","A31"
4,"A30-A49","A32"
4,"A30-A49","A33"
4,"A30-A49","A34"
4,"A30-A49","A35"
4,"A30-A49","A36"
4,"A30-A49","A37"
4,"A30-A49","A38"
4,"A30-A49","A39"
4,"A30-A49","A40"
4,"A30-A49","A41"
4,"A30-A49","A42"
4,"A30-A49","A43"
4,"A30-A49","A44"
4,"A30-A49","A46"
4,"A30-A49","A48"
4,"A30-A49","A49"
5,"A50-A64","A50"
5,"A50-A64","A51"
5,"A50-A64","A52"
5,"A50-A64","A53"
5,"A50-A64","A54"
5,"A50-A64","A55"
5,"A50-A64","A56"
5,"A50-A64","A57"
5,"A50-A64","A58"
5,"A50-A64","A59"
5,"A50-A64","A60"
5,"A50-A64","A63"
5,"A50-A64","A64"
6,"A65-A69","A65"
6,"A65-A69","A66"
6,"A65-A69","A67"
6,"A65-A69","A68"
6,"A65-A69","A69"
7,"A70-A74","A70"
7,"A70-A74","A71"
7,"A70-A74","A74"
8,"A75-A79","A75"
8,"A75-A79","A77"
8,"A75-A79","A78"
8,"A75-A79","A79"
9,"A80-A89","A80"
9,"A80-A89","A81"
9,"A80-A89","A82"
9,"A80-A89","A83"
9,"A80-A89","A84"
9,"A80-A89","A85"
9,"A80-A89","A86"
9,"A80-A89","A87"
9,"A80-A89","A88"
9,"A80-A89","A89"
10,"A92-A99","A92"
10,"A92-A99","A93"
10,"A92-A99","A94"
10,"A92-A99","A95"
10,"A92-A99","A96"
10,"A92-A99","A98"
10,"A92-A99","A99"
11,"B00-B09","B00"
11,"B00-B09","B01"
11,"B00-B09","B02"
11,"B00-B09","B03"
11,"B00-B09","B04"
11,"B00-B09","B05"
11,"B00-B09","B06"
11,"B00-B09","B07"
11,"B00-B09","B08"
11,"B00-B09","B09"
12,"B15-B19","B15"
12,"B15-B19","B16"
12,"B15-B19","B17"
12,"B15-B19","B18"
12,"B15-B19","B19"
13,"B20-B24","B20"
13,"B20-B24","B21"
13,"B20-B24","B22"
13,"B20-B24","B23"
13,"B20-B24","B24"
14,"B25-B34","B25"
14,"B25-B34","B26"
14,"B25-B34","B27"
14,"B25-B34","B30"
14,"B25-B34","B33"
14,"B25-B34","B34"
15,"B35-B49","B35"
15,"B35-B49","B36"
15,"B35-B49","B37"
15,"B35-B49","B38"
15,"B35-B49","B39"
15,"B35-B49","B40"
15,"B35-B49","B41"
15,"B35-B49","B42"
15,"B35-B49","B43"
15,"B35-B49","B44"
15,"B35-B49","B45"
15,"B35-B49","B46"
15,"B35-B49","B47"
15,"B35-B49","B48"
15,"B35-B49","B49"
16,"B50-B64","B50"
16,"B50-B64","B51"
16,"B50-B64","B52"
16,"B50-B64","B53"
16,"B50-B64","B54"
16,"B50-B64","B55"
16,"B50-B64","B56"
16,"B50-B64","B57"
16,"B50-B64","B58"
16,"B50-B64","B59"
16,"B50-B64","B60"
16,"B50-B64","B64"
17,"B65-B83","B65"
17,"B65-B83","B66"
17,"B65-B83","B67"
17,"B65-B83","B68"
17,"B65-B83","B69"
17,"B65-B83","B70"
17,"B65-B83","B71"
17,"B65-B83","B72"
17,"B65-B83","B73"
17,"B65-B83","B74"
17,"B65-B83","B75"
17,"B65-B83","B76"
17,"B65-B83","B77"
17,"B65-B83","B78"
17,"B65-B83","B79"
17,"B65-B83","B80"
17,"B65-B83","B81"
17,"B65-B83","B82"
17,"B65-B83","B83"
18,"B85-B89","B85"
18,"B85-B89","B86"
18,"B85-B89","B87"
18,"B85-B89","B88"
18,"B85-B89","B89"
19,"B90-B94","B90"
19,"B90-B94","B91"
19,"B90-B94","B92"
19,"B90-B94","B94"
