"icd_code","x","y"
"A00",196.385595627344,426.899375312316
"A01",195.497108653403,463.841109842348
"A02",158.23346,424.83405
"A03",-340.195907753866,193.558163137392
"A04",-361.18573,170.28061
"A05",-321.724473264973,204.552765625746
"A06",170.823199420696,4.55275182595432
"A07",174.344125356054,-31.2886298300517
"A08",155.87549,-34.01227
"A09",343.92526,197.94624
"A15",-973.3709,1070.135
"A16",-1020.5038,1126.3427
"A17",-983.573868467408,1137.40281663936
"A18",-988.199812279019,1153.90410634231
"A19",-1005.46158929256,1159.85473305833
"A20",-1003.59690388193,1132.67969996956
"A21",-1010.9489022204,1139.4112157422
"A22",-777.134811375511,1116.50822321863
"A23",-761.634586196614,1080.94436390862
"A24",-788.766231181321,1106.65157715954
"A25",-756.146331422252,1092.67488346227
"A26",-794.67206,1072.7411
"A27",-765.92547713056,1074.93943610021
"A28",-781.017357109336,1088.76169463784
"A30",-781.534818504227,1102.0596330797
"A31",-777.316050563229,1080.88748765529
"A32",-274.42535878591,245.911931752981
"A33",-287.012315475044,266.086340825827
"A34",-284.312047830445,247.970418246285
"A35",-311.130072322336,242.052199311377
"A36",-306.271339450625,272.233790008174
"A37",-284.542496869934,245.222524147303
"A38",-319.45956,231.76097
"A39",-295.98879483029,261.954427178771
"A40",-389.7611,244.3459
"A41",-285.1916,25.616405
"A42",-279.520786441377,56.2114058742511
"A43",-270.077046822271,34.6002940526444
"A44",186.543225423602,224.465259438131
"A46",176.84067,196.05391
"A48",330.13477,780.8864
"A49",-166.0595,-105.0365
"A50",-160.222504314527,-83.5623670952171
"A51",-133.764836969346,-90.984167259723
"A52",-151.033407105625,-96.728472900182
"A53",-512.40267359661,-691.7338153667
"A54",-537.536472430547,-686.755827719644
"A55",-520.539696903993,-692.69776698418
"A56",-549.09863,-710.6175
"A57",-512.364538394009,-674.946959225759
"A58",-508.522911038344,-692.022518476769
"A59",-544.825145704766,-685.150160793513
"A60",390.848994576144,-103.493182953697
"A63",382.0673,-136.70245
"A64",402.17846829142,-130.475968685251
"A65",412.621118659857,-108.229927448806
"A66",414.658031477365,-99.8880903574347
"A67",1106.39057488328,-958.972534711143
"A68",1097.64523786268,-974.337595292037
"A69",1091.866,-995.97974
"A70",1129.60451364292,-982.220041361307
"A71",1094.72172165437,-972.595329663386
"A74",1104.48982505462,-970.132479653364
"A75",1131.220028631,-955.580833079895
"A77",1116.11145630999,-985.580608819281
"A78",1103.74914745761,-978.282988796612
"A79",1116.26375163308,-984.364917962482
"A80",1136.83697553127,-982.799565578481
"A81",1133.02153428233,-975.804852020597
"A82",1121.7361571878,-963.162113309508
"A83",1133.90583874619,-951.870522590955
"A84",1113.38286712168,-968.192060109829
"A85",1117.46606146692,-945.137150828397
